train,val
TCGA-2E-A9G8,TCGA-4E-A92E
TCGA-5B-A90C,TCGA-A5-A0GG
TCGA-5S-A9Q8,TCGA-A5-A0GQ
TCGA-A5-A0G1,TCGA-A5-A0GR
TCGA-A5-A0G2,TCGA-A5-A1OF
TCGA-A5-A0G3,TCGA-A5-A2K7
TCGA-A5-A0G5,TCGA-A5-AB3J
TCGA-A5-A0G9,TCGA-AJ-A23M
TCGA-A5-A0GA,TCGA-AJ-A23N
TCGA-A5-A0GB,TCGA-AJ-A2QL
TCGA-A5-A0GD,TCGA-AJ-A2QM
TCGA-A5-A0GE,TCGA-AJ-A2QN
TCGA-A5-A0GH,TCGA-AJ-A3BG
TCGA-A5-A0GI,TCGA-AJ-A3NG
TCGA-A5-A0GJ,TCGA-AJ-A8CT
TCGA-A5-A0GM,TCGA-AP-A059
TCGA-A5-A0GN,TCGA-AP-A05A
TCGA-A5-A0GP,TCGA-AP-A05J
TCGA-A5-A0GU,TCGA-AP-A0LF
TCGA-A5-A0GV,TCGA-AP-A0LI
TCGA-A5-A0GW,TCGA-AP-A0LM
TCGA-A5-A0GX,TCGA-AP-A0LN
TCGA-A5-A0R6,TCGA-AP-A1E1
TCGA-A5-A0R7,TCGA-AX-A05W
TCGA-A5-A0R8,TCGA-AX-A062
TCGA-A5-A0R9,TCGA-AX-A1C9
TCGA-A5-A0RA,TCGA-AX-A1CC
TCGA-A5-A0VO,TCGA-B5-A0JN
TCGA-A5-A0VP,TCGA-B5-A0JR
TCGA-A5-A0VQ,TCGA-B5-A0JX
TCGA-A5-A1OG,TCGA-B5-A0K0
TCGA-A5-A1OH,TCGA-B5-A0K6
TCGA-A5-A1OJ,TCGA-B5-A11O
TCGA-A5-A1OK,TCGA-B5-A11P
TCGA-A5-A2K2,TCGA-B5-A11Q
TCGA-A5-A2K3,TCGA-B5-A11R
TCGA-A5-A2K4,TCGA-B5-A11S
TCGA-A5-A2K5,TCGA-B5-A1MU
TCGA-A5-A3LO,TCGA-B5-A1MY
TCGA-A5-A3LP,TCGA-B5-A1N2
TCGA-A5-A7WJ,TCGA-B5-A3FD
TCGA-A5-A7WK,TCGA-B5-A3S1
TCGA-AJ-A2QK,TCGA-B5-A5OE
TCGA-AJ-A2QO,TCGA-BG-A0RY
TCGA-AJ-A3BD,TCGA-BG-A0W1
TCGA-AJ-A3BF,TCGA-BG-A0YU
TCGA-AJ-A3BH,TCGA-BG-A2AD
TCGA-AJ-A3BI,TCGA-BG-A2AE
TCGA-AJ-A3BK,TCGA-BK-A0CA
TCGA-AJ-A3EJ,TCGA-BK-A0CC
